,sentence,foodlist
117,내일 모레 6시에 평양 냉면하고 제육볶음을 조금 먹을것 같아,"['평양 냉면', '제육볶음']"
118,8시에 로제 파스타랑 로제 파스타를 조금 먹었다,"['로제 파스타', '로제 파스타']"
119,익일 아침에 배추랑 짜장면을 적당히 먹을게,"['배추', '짜장면']"
120,1시에 족발이랑 햄버거를 살짝 먹었어,"['족발', '햄버거']"
121,익일 식사로는 12시에 떡만두국을 먹음,['떡만두국']
122,익일 식사로는 10시에 콩밥과 피자를 맛있게,"['콩밥', '피자']"
123,저녁에 평양 냉면하고 배추와 토마토 파스타를 맛있게 먹었네,"['평양 냉면', '배추', '토마토 파스타']"
124,"어제 6시에 배추 된장국, 제육볶음을 빨리","['배추 된장국', '제육볶음']"
125,"익일 식사로는 오전에 순두부찌개랑 삼겹살이랑 쌀밥, 탕수육, 김치를 적정량 먹었어","['순두부찌개', '삼겹살', '쌀밥', '탕수육', '김치']"
126,"어제 저녁에 수육, 떡만두국을 조금","['수육', '떡만두국']"
127,오늘 저녁으로 순두부찌개와 떡과 갈비탕을 적정량 먹었다,"['순두부찌개', '떡', '갈비탕']"
128,오늘 2시에 비빔밥과 한우를 적정량,"['비빔밥', '한우']"
129,금일 식사로는 7시에 밥과 냉면을 없음 먹을꺼야,"['밥', '냉면']"
130,금일 식사로는 아침에 김밥과 배추를 빨리 먹었네,"['김밥', '배추']"
131,"내일  아침으로 족발, 족발, 팟타이를 많이 먹을꺼야","['족발', '족발', '팟타이']"
132,익일 식사는 5시에 냉면을 맛있게 먹을것임,['냉면']
133,오늘 식사는 아침으로 배추 된장국과 알리오올리오를 적정량 먹을게,"['배추 된장국', '알리오올리오']"
134,내일 식사로는 7시에 족발 보쌈과 삼겹살을 맛있게 먹을꺼야,"['족발 보쌈', '삼겹살']"
135,오늘 점심에 라면하고 순두부찌개를 많이 먹을꺼야,"['라면', '순두부찌개']"
136,"내일 식사는 오전에 떡, 김밥을 빨리 먹을게","['떡', '김밥']"
137,금일 식사로는 저녁에 김치 볶음밥과 김치를 조금만 먹었네,"['김치 볶음밥', '김치']"
138,금일 5시에 순두부찌개와 배추 김치를 적정량 먹을게,"['순두부찌개', '배추 김치']"
139,일일 2시에 돈까스와 총각 김치를 살짝 먹을꺼야,"['돈까스', '총각 김치']"
140,"오늘 식사는 아침으로 알리오올리오, 소고기 비빔밥을 조금만 먹을것임","['알리오올리오', '소고기 비빔밥']"
141,내일 식사로는 10시에 스테이크와 된장찌개를 적당히,"['스테이크', '된장찌개']"
142,일일 간식으로 오복쟁반하고 삼겹살을 적당히 먹을꺼야,"['오복쟁반', '삼겹살']"
143,"오늘 식사는 6시에 스테이크, 마라탕을 없음 먹었다","['스테이크', '마라탕']"
144,내일 식사로는 점심으로 나시고랭 피자를 적정량 먹을꺼야,"['나시고랭', '피자']"
145,그저께 쌀밥과 갈비를 쪼금 먹었어,"['쌀밥', '갈비']"
146,금일 식사로는 10시에 쌀밥하고 김치를 적당히 먹을꺼야,"['쌀밥', '김치']"
147,"금일 식사는 간식으로 떡만두국, 소고기 비빔밥을 살짝 먹음","['떡만두국', '소고기 비빔밥']"
148,익일 식사는 11시에 나시고랭하고 배추 김치를 급하게 먹을것임,"['나시고랭', '배추 김치']"
149,내일 식사는 6시에 간짜장과 간짜장을 적당히 먹었다,"['간짜장', '간짜장']"
150,"내일 식사로는 점심으로 보쌈, 콩밥을 적당히 먹을것 같아","['보쌈', '콩밥']"
151,오늘 아침으로 만두국하고 김치찜을 먹을것 같아,"['만두국', '김치찜']"
152,오늘 10시에 된장찌개와 나시고랭을 적당히,"['된장찌개', '나시고랭']"
153,내일 모레 5시에 소고기 비빔밥하고 떡만두국을 조금 먹을것임,"['소고기 비빔밥', '떡만두국']"
154,그저께 저녁으로 갈비탕이랑 보쌈을 조금만,"['갈비탕', '보쌈']"
155,일일 아침에 떡만두국 로제 파스타를 적정량 먹었다,"['떡만두국', '로제 파스타']"
156,그저께 2시에 떡 토마토 파스타를 많이 먹었어,"['떡', '토마토 파스타']"
157,오늘 오전에 김치찜하고 떡을 먹음,"['김치찜', '떡']"
158,"금일 7시에 한우, 비빔밥을 많이 먹을것 같아","['한우', '비빔밥']"
159,어제 3시에 탕수육과 토마토 파스타를 많이 먹음,"['탕수육', '토마토 파스타']"
160,그저께 2시에 평양 냉면하고 마라탕이랑 총각 김치를 조금 먹었어,"['평양 냉면', '마라탕', '총각 김치']"
161,오늘 식사는 점심으로 평양 냉면 볶음밥 토마토 파스타를 먹을것 같아,"['평양 냉면', '볶음밥', '토마토 파스타']"
162,내일 식사는 점심에 마라탕 소고기 비빔밥을 빨리 먹음,"['마라탕', '소고기 비빔밥']"
163,일일 10시에 볶음밥이랑 김치를 많이 먹을꺼야,"['볶음밥', '김치']"
164,익일 식사로는 9시에 간짜장과 오복쟁반을 적당히 먹을꺼야,"['간짜장', '오복쟁반']"
165,오늘 식사는 6시에 삼겹살이랑 총각 김치를 먹었어,"['삼겹살', '총각 김치']"
166,오늘 6시에 오복쟁반과 밥을 쪼금 먹었다,"['오복쟁반', '밥']"
167,오늘 식사로는 8시에 김밥이랑 짜장면을 맛있게 먹었다,"['김밥', '짜장면']"
168,오늘 2시에 토마토 파스타랑 쌀밥을 급하게,"['토마토 파스타', '쌀밥']"
169,오늘 식사로는 순두부찌개를 많이 먹을꺼야,['순두부찌개']
170,"어제 10시에 탕수육, 떡만두국을 살짝 먹을것 같아","['탕수육', '떡만두국']"
171,익일 5시에 라면하고 간짜장면을 쪼금,"['라면', '간짜장면']"
172,익일 식사로는 9시에 배추 김치랑 소고기 비빔밥을 빨리 먹었네,"['배추 김치', '소고기 비빔밥']"
173,오늘 식사로는 3시에 토마토 샐러드랑 김치를 조금 먹을것임,"['토마토 샐러드', '김치']"
174,"익일 식사는 1시에 나시고랭, 짜장면을 조금 먹을것 같아","['나시고랭', '짜장면']"
175,그저께 오후에 마라탕하고 보쌈을 먹음,"['마라탕', '보쌈']"
176,오늘 식사는 11시에 총각 김치하고 간짜장을 살짝 먹었어,"['총각 김치', '간짜장']"
177,일일 점심에 배추 김치랑 알리오올리오를 없음 먹을게,"['배추 김치', '알리오올리오']"
178,금일 식사는 2시에 토마토하고 스테이크를 많이 먹었다,"['토마토', '스테이크']"
179,"내일 식사는 9시에 김치찜, 쌀밥을 많이 먹었다","['김치찜', '쌀밥']"
180,"내일 식사는 점심으로 쌀밥과 한우, 간짜장면하고 콩밥이랑 갈비탕을 빨리 먹을것 같아","['쌀밥', '한우', '간짜장면', '콩밥', '갈비탕']"
181,일일 아침에 쌀밥이랑 소고기를 살짝 먹을꺼야,"['쌀밥', '소고기']"
182,오늘 식사는 2시에 햄버거를 없음 먹었네,['햄버거']
183,금일 식사는 3시에 김치 된장 라면을 많이 먹었다,"['김치', '된장 라면']"
184,"금일 아침에 수육, 족발을 먹을것 같아","['수육', '족발']"
185,오늘 식사로는 8시에 김치 김치찜을 급하게,"['김치', '김치찜']"
186,오늘 식사는 7시에 오복쟁반하고 마라탕을 쪼금 먹음,"['오복쟁반', '마라탕']"
187,내일 모레 8시에 수육이랑 밥을 조금만 먹을것임,"['수육', '밥']"
188,오늘 2시에 한우랑 김치찜을 많이 먹었다,"['한우', '김치찜']"
189,오늘 식사는 9시에 제육볶음과 김밥을 적당히 먹었어,"['제육볶음', '김밥']"
190,어제 11시에 스테이크와 보쌈을 없음 먹을것 같아,"['스테이크', '보쌈']"
191,"내일 모레 아침으로 배추, 김치 볶음밥을 적당히","['배추', '김치 볶음밥']"
192,일일 아침에 소고기 비빔밥하고 간짜장을 조금,"['소고기 비빔밥', '간짜장']"
193,내일 모레 1시에 라면 비빔밥을 맛있게 먹을것 같아,"['라면', '비빔밥']"
194,"내일 식사로는 저녁으로 수육, 만두국을 빨리 먹을게","['수육', '만두국']"
195,내일 모레 11시에 밥과 밥을 조금만 먹을게,"['밥', '밥']"
196,오늘 식사는 5시에 로제 파스타랑 수육을 먹음,"['로제 파스타', '수육']"
197,오늘 식사로는 오전에 삼겹살하고 보쌈과 토마토 파스타를 쪼금 먹을꺼야,"['삼겹살', '보쌈', '토마토 파스타']"
198,금일 식사는 7시에 갈비 평양 냉면을 적정량 먹을게,"['갈비', '평양 냉면']"
199,"내일  5시에 김치찌개, 한우를 적당히 먹었어","['김치찌개', '한우']"
200,익일 오후에 나시고랭과 떡을 조금만 먹을것 같아,"['나시고랭', '떡']"
201,"일일 1시에 볶음밥, 족발을 맛있게 먹을것 같아","['볶음밥', '족발']"
202,오늘 7시에 쌀밥이랑 배추를 적정량 먹음,"['쌀밥', '배추']"
203,내일 식사는 6시에 스테이크 족발을 먹었네,"['스테이크', '족발']"
204,금일 식사로는 10시에 알리오올리오와 마라탕을 적정량 먹었어,"['알리오올리오', '마라탕']"
205,내일  오전에 밥하고 배추 김치를 맛있게 먹을것임,"['밥', '배추 김치']"
206,익일 식사는 6시에 간짜장 짜장면을 급하게 먹었네,"['간짜장', '짜장면']"
207,금일 식사는 12시에 마라탕과 김밥을 적당히 먹을것임,"['마라탕', '김밥']"
208,그저께 9시에 갈비탕하고 탕수육을 없음 먹을게,"['갈비탕', '탕수육']"
209,오늘 식사로는 2시에 갈비하고 콩밥을 적정량 먹었네,"['갈비', '콩밥']"
210,오늘 2시에 콩밥이랑 갈비탕을 빨리 먹었네,"['콩밥', '갈비탕']"
211,"5시에 비빔밥, 소고기 비빔밥을 없음 먹을것 같아","['비빔밥', '소고기 비빔밥']"
212,오늘 1시에 족발 비빔밥이랑 갈비탕과 김치찜을 조금 먹었어,"['족발', '비빔밥', '갈비탕', '김치찜']"
213,그저께 5시에 김밥과 토마토 샐러드를 조금만 먹을게,"['김밥', '토마토 샐러드']"
214,"내일 식사는 3시에 만두국, 밥을 살짝 먹을것 같아","['만두국', '밥']"
215,그저께 토마토 샐러드와 팟타이를 급하게 먹을꺼야,"['토마토 샐러드', '팟타이']"
216,익일 식사로는 3시에 보쌈하고 갈비를 조금 먹을게,"['보쌈', '갈비']"
217,"내일 모레 7시에 김치찌개, 김밥하고 배추 된장국을 적당히 먹음","['김치찌개', '김밥', '배추 된장국']"
218,4시에 마라탕 족발 보쌈 마라탕을 맛있게 먹을게,"['마라탕', '족발 보쌈', '마라탕']"
219,익일 5시에 밥을 쪼금 먹을것임,['밥']
220,익일 식사는 점심에 간짜장과 쌀밥을 조금만 먹을것 같아,"['간짜장', '쌀밥']"
221,어제 저녁에 수육하고 볶음밥을 살짝 먹었어,"['수육', '볶음밥']"
222,일일 6시에 보쌈과 떡만두국을 먹을게,"['보쌈', '떡만두국']"
223,금일 저녁에 된장 라면이랑 배추를 없음 먹을것임,"['된장 라면', '배추']"
224,"금일 식사는 저녁에 보쌈, 김치 볶음밥, 나시고랭 김밥이랑 토마토 샐러드를 급하게 먹었네","['보쌈', '김치 볶음밥', '나시고랭', '김밥', '토마토 샐러드']"
225,익일 토마토하고 김치 볶음밥을 조금만 먹을것 같아,"['토마토', '김치 볶음밥']"
226,오늘 4시에 햄버거랑 콩밥을 살짝 먹었다,"['햄버거', '콩밥']"
227,오늘 10시에 마라탕과 햄버거 족발 보쌈 짜장면을 없음 먹었어,"['마라탕', '햄버거', '족발 보쌈', '짜장면']"
228,금일 식사로는 8시에 수육과 짜장면을 조금,"['수육', '짜장면']"
229,"일일 간식으로 밥, 된장 라면을 쪼금 먹었다","['밥', '된장 라면']"
230,오늘 식사로는 아침에 팟타이 갈비탕을 조금만 먹을것 같아,"['팟타이', '갈비탕']"
231,익일 식사는 2시에 밥이랑 토마토를 적당히 먹을꺼야,"['밥', '토마토']"
232,"오늘 식사로는 7시에 밥, 토마토 파스타를 쪼금 먹음","['밥', '토마토 파스타']"
233,내일  3시에 밥하고 피자를 없음 먹었어,"['밥', '피자']"
234,오늘 식사로는 12시에 탕수육을 조금만,['탕수육']
235,"그저께 점심에 햄버거, 배추 김치를 없음 먹었어","['햄버거', '배추 김치']"
236,금일 식사는 오전에 배추 된장국하고 토마토 샐러드를 살짝 먹었네,"['배추 된장국', '토마토 샐러드']"
237,금일 식사는 9시에 평양 냉면과 팟타이를 조금만 먹을것임,"['평양 냉면', '팟타이']"
238,익일 식사는 오후에 김치하고 탕수육을 없음,"['김치', '탕수육']"
239,내일 식사로는 아침으로 쌀밥과 짜장면을 조금만 먹을것임,"['쌀밥', '짜장면']"
240,오늘 식사는 아침에 삼겹살 평양 냉면을 적정량 먹을것 같아,"['삼겹살', '평양 냉면']"
241,익일 식사는 5시에 짜장면 소고기랑 김치 볶음밥하고 돈까스하고 스테이크를 빨리 먹었다,"['짜장면', '소고기', '김치 볶음밥', '돈까스', '스테이크']"
242,"일일 11시에 족발 보쌈, 간짜장을 적정량 먹을것 같아","['족발 보쌈', '간짜장']"
243,오늘 식사로는 아침으로 소고기 비빔밥 된장 라면 탕수육을 조금만 먹을것임,"['소고기 비빔밥', '된장 라면', '탕수육']"
244,금일 식사는 2시에 볶음밥이랑 떡만두국을 빨리 먹을게,"['볶음밥', '떡만두국']"
245,오늘 오후에 김밥하고 보쌈을 조금만 먹을것 같아,"['김밥', '보쌈']"
246,내일 모레 점심으로 갈비와 배추 된장국을 적당히 먹을것 같아,"['갈비', '배추 된장국']"
247,오후에 토마토 파스타하고 알리오올리오를 조금 먹을꺼야,"['토마토 파스타', '알리오올리오']"
248,"오늘 식사는 2시에 삼겹살, 한우를 조금만 먹었네","['삼겹살', '한우']"
249,익일 식사는 9시에 탕수육과 마라탕 제육볶음을 없음 먹음,"['탕수육', '마라탕', '제육볶음']"
250,익일 식사는 점심으로 만두국과 토마토 샐러드랑 나시고랭을 조금 먹음,"['만두국', '토마토 샐러드', '나시고랭']"
251,"내일  12시에 배추 된장국, 김치 볶음밥을 빨리 먹을것 같아","['배추 된장국', '김치 볶음밥']"
252,"저녁에 토마토, 로제 파스타를 많이 먹을꺼야","['토마토', '로제 파스타']"
253,익일 식사로는 12시에 보쌈하고 소고기를 적당히 먹었네,"['보쌈', '소고기']"
254,"내일 식사는 아침으로 제육볶음, 짜장면을 급하게 먹을것 같아","['제육볶음', '짜장면']"
255,내일  12시에 냉면과 김치찜을 맛있게 먹을게,"['냉면', '김치찜']"
256,금일 7시에 족발과 햄버거를 많이 먹었어,"['족발', '햄버거']"
257,내일 모레 5시에 김치찌개하고 소고기를 살짝,"['김치찌개', '소고기']"
258,알리오올리오하고 김치 볶음밥을 먹을꺼야,"['알리오올리오', '김치 볶음밥']"
259,금일 10시에 보쌈과 순두부찌개를 맛있게 먹었어,"['보쌈', '순두부찌개']"
260,"내일  6시에 콩밥, 만두국을 쪼금 먹었어","['콩밥', '만두국']"
261,"어제 2시에 떡만두국, 토마토 볶음밥하고 김치찜이랑 비빔밥을 적정량 먹었네","['떡만두국', '토마토', '볶음밥', '김치찜', '비빔밥']"
262,점심에 냉면과 소고기 비빔밥 갈비하고 갈비랑 햄버거를 적당히 먹을게,"['냉면', '소고기 비빔밥', '갈비', '갈비', '햄버거']"
263,"오늘 식사로는 7시에 돈까스, 로제 파스타를 많이 먹을게","['돈까스', '로제 파스타']"
264,금일 식사로는 7시에 마라탕하고 나시고랭을 급하게 먹을게,"['마라탕', '나시고랭']"
265,내일  2시에 된장찌개와 수육을 많이 먹음,"['된장찌개', '수육']"
266,"오늘 식사로는 점심으로 김치찌개, 쌀밥을 조금 먹었네","['김치찌개', '쌀밥']"
267,"그저께 6시에 간짜장, 나시고랭을 맛있게 먹었네","['간짜장', '나시고랭']"
268,"일일 12시에 삼겹살, 로제 파스타를 없음 먹을꺼야","['삼겹살', '로제 파스타']"
269,오늘 아침으로 김밥하고 소고기를 없음 먹음,"['김밥', '소고기']"
270,금일 식사로는 아침으로 간짜장면 김치 볶음밥을 살짝,"['간짜장면', '김치 볶음밥']"
271,아침으로 소고기를 쪼금 먹을꺼야,['소고기']
272,내일 식사로는 8시에 스테이크하고 김치 볶음밥을 먹을꺼야,"['스테이크', '김치 볶음밥']"
