,sentence,foodlist
37,익일 식사로는 8시에 김치찜과 쌀밥을 적당히 먹을것 같아,"['김치찜', '쌀밥']"
38,그저께 5시에 오복쟁반이랑 마라탕을 맛있게 먹음,"['오복쟁반', '마라탕']"
39,익일 4시에 족발 보쌈 평양 냉면과 스테이크랑 떡과 소고기를 급하게 먹을것 같아,"['족발 보쌈', '평양 냉면', '스테이크', '떡', '소고기']"
40,익일 식사는 간짜장 알리오올리오를 급하게 먹었네,"['간짜장', '알리오올리오']"
41,오늘 식사는 9시에 김치 볶음밥하고 제육볶음을 많이 먹음,"['김치 볶음밥', '제육볶음']"
42,익일 5시에 간짜장하고 라면을 빨리 먹었다,"['간짜장', '라면']"
43,오늘 저녁으로 로제 파스타하고 족발 보쌈을 적당히 먹을것임,"['로제 파스타', '족발 보쌈']"
44,오늘 식사는 된장찌개하고 스테이크를 쪼금 먹을게,"['된장찌개', '스테이크']"
45,익일 식사로는 3시에 오복쟁반과 토마토를 맛있게 먹었네,"['오복쟁반', '토마토']"
46,내일 식사는 저녁으로 탕수육이랑 배추 김치를 조금 먹을것 같아,"['탕수육', '배추 김치']"
47,내일 식사로는 9시에 간짜장면하고 소고기를 먹었다,"['간짜장면', '소고기']"
48,"어제 6시에 밥, 토마토 파스타를 살짝 먹었다","['밥', '토마토 파스타']"
49,"어제 5시에 마라탕이랑 소고기 비빔밥, 라면 총각 김치랑 오복쟁반을 조금만 먹을게","['마라탕', '소고기 비빔밥', '라면', '총각 김치', '오복쟁반']"
50,익일 오전에 돈까스랑 갈비탕을 먹을꺼야,"['돈까스', '갈비탕']"
51,"금일 식사는 11시에 족발 보쌈, 김밥을 적당히 먹음","['족발 보쌈', '김밥']"
52,"내일 모레 점심에 소고기, 짜장면이랑 돈까스하고 배추를 쪼금 먹었네","['소고기', '짜장면', '돈까스', '배추']"
53,익일 1시에 나시고랭 삼겹살을 살짝 먹을것임,"['나시고랭', '삼겹살']"
54,내일 식사는 10시에 스테이크하고 소고기 비빔밥을 맛있게,"['스테이크', '소고기 비빔밥']"
55,익일 오전에 돈까스하고 족발을 조금 먹을꺼야,"['돈까스', '족발']"
56,익일 식사로는 3시에 햄버거 비빔밥을 적당히 먹을꺼야,"['햄버거', '비빔밥']"
57,익일 식사는 오전에 족발 보쌈하고 한우를 조금만 먹음,"['족발 보쌈', '한우']"
58,익일 식사로는 10시에 콩밥이랑 김치찌개를 살짝 먹음,"['콩밥', '김치찌개']"
59,오늘 7시에 팟타이하고 탕수육을 맛있게,"['팟타이', '탕수육']"
60,아침에 한우하고 짜장면이랑 족발 보쌈을 조금 먹을꺼야,"['한우', '짜장면', '족발 보쌈']"
61,내일 식사로는 점심으로 김치 볶음밥이랑 햄버거를 먹을것임,"['김치 볶음밥', '햄버거']"
62,익일 식사는 오후에 소고기 비빔밥 떡만두국을 적당히 먹을것 같아,"['소고기 비빔밥', '떡만두국']"
63,"일일 8시에 한우, 만두국을 빨리 먹을꺼야","['한우', '만두국']"
64,금일 3시에 알리오올리오와 순두부찌개를 급하게 먹었다,"['알리오올리오', '순두부찌개']"
65,금일 식사는 1시에 라면이랑 콩밥을 많이 먹었네,"['라면', '콩밥']"
66,내일 모레 12시에 수육 로제 파스타랑 배추를 없음 먹었어,"['수육', '로제 파스타', '배추']"
67,금일 식사로는 저녁에 배추 김치랑 평양 냉면을 없음 먹음,"['배추 김치', '평양 냉면']"
68,내일  점심으로 김밥이랑 평양 냉면을 조금만 먹었다,"['김밥', '평양 냉면']"
69,금일 1시에 마라탕 된장 라면을 빨리 먹을것 같아,"['마라탕', '된장 라면']"
70,그저께 8시에 갈비랑 짜장면을 조금 먹었네,"['갈비', '짜장면']"
71,익일 밥이랑 피자랑 토마토 파스타 삼겹살을 살짝 먹을게,"['밥', '피자', '토마토 파스타', '삼겹살']"
72,"오늘 식사로는 간식으로 볶음밥, 탕수육을 조금만 먹었네","['볶음밥', '탕수육']"
73,익일 식사는 1시에 탕수육 돈까스를 급하게 먹었다,"['탕수육', '돈까스']"
74,내일 식사로는 7시에 쌀밥과 족발을 많이 먹을꺼야,"['쌀밥', '족발']"
75,금일 비빔밥과 김밥을 급하게 먹을것 같아,"['비빔밥', '김밥']"
76,"익일 5시에 토마토 파스타, 평양 냉면을 조금 먹었어","['토마토 파스타', '평양 냉면']"
77,내일 식사는 저녁에 떡과 삼겹살을 빨리 먹을것임,"['떡', '삼겹살']"
78,오늘 간식으로 비빔밥이랑 족발 보쌈을 살짝 먹었어,"['비빔밥', '족발 보쌈']"
79,내일 식사는 5시에 만두국과 된장찌개를 조금 먹을것 같아,"['만두국', '된장찌개']"
80,"익일 식사로는 12시에 김치찜, 수육을 조금만 먹었다","['김치찜', '수육']"
81,오늘 식사는 8시에 김밥이랑 김치를 조금,"['김밥', '김치']"
82,익일 식사는 3시에 콩밥이랑 족발을 조금 먹을것임,"['콩밥', '족발']"
83,익일 6시에 배추 된장국이랑 햄버거를 살짝 먹었네,"['배추 된장국', '햄버거']"
84,어제 7시에 갈비 쌀밥을 급하게 먹을게,"['갈비', '쌀밥']"
85,내일 식사는 저녁으로 소고기 삼겹살을 적당히 먹을꺼야,"['소고기', '삼겹살']"
86,오늘 식사는 4시에 된장 라면 총각 김치를 맛있게 먹었다,"['된장 라면', '총각 김치']"
87,오늘 식사는 오후에 김치찌개 쌀밥을 빨리,"['김치찌개', '쌀밥']"
88,오늘 식사는 2시에 떡만두국 탕수육을 적당히 먹을것 같아,"['떡만두국', '탕수육']"
89,금일 6시에 간짜장면과 콩밥을 조금만 먹었어,"['간짜장면', '콩밥']"
90,"어제 오전에 된장 라면, 한우를 맛있게 먹을게","['된장 라면', '한우']"
91,어제 3시에 만두국이랑 보쌈을 많이 먹을꺼야,"['만두국', '보쌈']"
92,그저께 저녁에 김치찜과 토마토 샐러드를 많이 먹을것임,"['김치찜', '토마토 샐러드']"
93,일일 오후에 배추를 급하게 먹을꺼야,['배추']
94,일일 3시에 삼겹살을 조금만 먹을것임,['삼겹살']
95,익일 식사로는 6시에 토마토하고 제육볶음을 쪼금 먹음,"['토마토', '제육볶음']"
96,오늘 저녁으로 족발이랑 로제 파스타를 조금만 먹음,"['족발', '로제 파스타']"
97,오늘 9시에 된장 라면이랑 토마토를 먹을꺼야,"['된장 라면', '토마토']"
98,내일 모레 9시에 김치와 돈까스를 조금 먹을꺼야,"['김치', '돈까스']"
99,내일 식사는 9시에 제육볶음이랑 보쌈을 많이 먹을것임,"['제육볶음', '보쌈']"
100,아침으로 간짜장과 갈비탕을 급하게 먹었네,"['간짜장', '갈비탕']"
101,"금일 식사로는 저녁으로 비빔밥, 나시고랭을 살짝 먹음","['비빔밥', '나시고랭']"
102,내일  4시에 총각 김치하고 배추 김치를 쪼금 먹을게,"['총각 김치', '배추 김치']"
103,금일 식사는 점심으로 알리오올리오하고 김치를 빨리 먹을꺼야,"['알리오올리오', '김치']"
104,내일 식사로는 12시에 순두부찌개하고 총각 김치를 먹을것 같아,"['순두부찌개', '총각 김치']"
105,오늘 점심에 김밥하고 탕수육을 먹었네,"['김밥', '탕수육']"
106,"익일 식사는 12시에 배추 된장국, 햄버거를 조금만 먹었어","['배추 된장국', '햄버거']"
107,금일 점심으로 간짜장 소고기 비빔밥을 쪼금 먹었네,"['간짜장', '소고기 비빔밥']"
108,금일 식사는 2시에 소고기 비빔밥 김치찜을 쪼금 먹을게,"['소고기 비빔밥', '김치찜']"
109,금일 식사로는 11시에 밥하고 소고기를 빨리 먹었어,"['밥', '소고기']"
110,내일 식사는 1시에 배추 배추 된장국을 조금만 먹었어,"['배추', '배추 된장국']"
111,오늘 식사는 2시에 김치 볶음밥이랑 팟타이를 먹을것 같아,"['김치 볶음밥', '팟타이']"
112,금일 식사는 7시에 갈비와 토마토 샐러드를 적정량 먹을것 같아,"['갈비', '토마토 샐러드']"
113,내일 식사는 점심에 피자와 돈까스를 쪼금 먹을꺼야,"['피자', '돈까스']"
114,익일 식사로는 저녁에 마라탕과 제육볶음을 조금 먹을것 같아,"['마라탕', '제육볶음']"
115,오늘 저녁에 김치찜 알리오올리오를,"['김치찜', '알리오올리오']"
116,내일 식사는 저녁에 오복쟁반하고 볶음밥을 쪼금 먹음,"['오복쟁반', '볶음밥']"
117,"금일 식사로는 6시에 햄버거, 오복쟁반을 먹을게","['햄버거', '오복쟁반']"
118,오전에 냉면이랑 김치 볶음밥을 쪼금 먹었네,"['냉면', '김치 볶음밥']"
119,"9시에 돈까스, 떡을 빨리","['돈까스', '떡']"
120,11시에 냉면하고 배추 된장국을 조금 먹을게,"['냉면', '배추 된장국']"
121,내일  7시에 소고기 비빔밥이랑 순두부찌개를 맛있게 먹을게,"['소고기 비빔밥', '순두부찌개']"
122,일일 점심으로 된장찌개와 김밥을 많이 먹음,"['된장찌개', '김밥']"
123,7시에 갈비탕을 빨리 먹었다,['갈비탕']
124,내일 식사는 4시에 로제 파스타와 배추 된장국을 조금만 먹었다,"['로제 파스타', '배추 된장국']"
125,내일 식사로는 10시에 족발 보쌈 된장찌개를 많이 먹을게,"['족발 보쌈', '된장찌개']"
126,금일 점심에 갈비 배추를 먹었어,"['갈비', '배추']"
127,익일 아침에 비빔밥 비빔밥을 적정량 먹었어,"['비빔밥', '비빔밥']"
128,"그저께 8시에 밥, 간짜장면을 급하게 먹음","['밥', '간짜장면']"
129,금일 1시에 갈비탕 짜장면을 적당히 먹을것임,"['갈비탕', '짜장면']"
130,"저녁으로 스테이크, 갈비를 적당히 먹을것 같아","['스테이크', '갈비']"
131,금일 오후에 족발 보쌈이랑 밥을 많이 먹을것임,"['족발 보쌈', '밥']"
132,금일 아침으로 햄버거하고 만두국을 살짝 먹을것임,"['햄버거', '만두국']"
133,"오늘 식사로는 6시에 토마토 샐러드, 피자를 없음 먹을것임","['토마토 샐러드', '피자']"
134,금일 1시에 짜장면 족발을 쪼금 먹을것 같아,"['짜장면', '족발']"
135,내일 식사로는 6시에 평양 냉면 라면을 빨리 먹었다,"['평양 냉면', '라면']"
136,익일 오전에 김치하고 토마토 샐러드를 많이 먹을것임,"['김치', '토마토 샐러드']"
137,오늘 저녁으로 햄버거 로제 파스타를 급하게 먹었다,"['햄버거', '로제 파스타']"
138,금일 식사는 11시에 수육 탕수육을 없음 먹었어,"['수육', '탕수육']"
139,일일 햄버거하고 배추 된장국을 빨리 먹을게,"['햄버거', '배추 된장국']"
140,내일 모레 간짜장면하고 마라탕을 빨리 먹을것임,"['간짜장면', '마라탕']"
141,오늘 오후에 김밥 나시고랭을 먹었어,"['김밥', '나시고랭']"
142,그저께 9시에 소고기 냉면을 조금만 먹었어,"['소고기', '냉면']"
143,익일 식사로는 아침으로 김치찜과 갈비를 많이 먹을것 같아,"['김치찜', '갈비']"
144,11시에 배추 김치하고 라면을 없음 먹을게,"['배추 김치', '라면']"
145,어제 오전에 족발 햄버거를 조금만 먹을것임,"['족발', '햄버거']"
146,오늘 점심으로 팟타이랑 햄버거를 많이 먹을게,"['팟타이', '햄버거']"
147,금일 식사로는 8시에 돈까스랑 밥을 적정량,"['돈까스', '밥']"
148,금일 식사로는 아침으로 김치 로제 파스타를 없음,"['김치', '로제 파스타']"
149,"오늘 식사로는 아침으로 스테이크, 김치찜을 쪼금 먹었네","['스테이크', '김치찜']"
150,내일  7시에 햄버거와 김치를 조금,"['햄버거', '김치']"
151,그저께 3시에 만두국이랑 수육을 빨리 먹었어,"['만두국', '수육']"
152,"익일 6시에 짜장면과 족발 보쌈 김치찌개, 간짜장을 적당히 먹음","['짜장면', '족발 보쌈', '김치찌개', '간짜장']"
153,오늘 식사는 11시에 오복쟁반이랑 간짜장면을 없음 먹었다,"['오복쟁반', '간짜장면']"
154,내일 식사는 4시에 배추 된장국이랑 평양 냉면을 급하게 먹음,"['배추 된장국', '평양 냉면']"
155,"오늘 식사로는 11시에 마라탕하고 떡만두국, 오복쟁반을 쪼금","['마라탕', '떡만두국', '오복쟁반']"
156,어제 2시에 배추 김치를 조금 먹을것임,['배추 김치']
157,아침으로 순두부찌개하고 제육볶음을 적당히 먹음,"['순두부찌개', '제육볶음']"
158,일일 저녁에 탕수육과 배추 된장국을 없음 먹음,"['탕수육', '배추 된장국']"
159,금일 아침에 김치찜과 삼겹살을 급하게 먹음,"['김치찜', '삼겹살']"
160,그저께 점심으로 평양 냉면 팟타이를 조금 먹을꺼야,"['평양 냉면', '팟타이']"
161,일일 점심에 라면하고 간짜장면을 맛있게 먹을것 같아,"['라면', '간짜장면']"
162,"익일 식사는 7시에 배추 된장국, 스테이크를 빨리 먹을게","['배추 된장국', '스테이크']"
163,그저께 4시에 나시고랭하고 김치를 적당히 먹을게,"['나시고랭', '김치']"
164,어제 8시에 간짜장이랑 햄버거를 맛있게 먹을게,"['간짜장', '햄버거']"
165,일일 5시에 간짜장면 나시고랭을 조금 먹었다,"['간짜장면', '나시고랭']"
166,8시에 나시고랭 콩밥을 먹을것임,"['나시고랭', '콩밥']"
167,금일 7시에 간짜장이랑 소고기 비빔밥을 조금만 먹었네,"['간짜장', '소고기 비빔밥']"
168,익일 식사로는 저녁에 된장찌개와 떡만두국을 적당히 먹을것임,"['된장찌개', '떡만두국']"
169,내일  점심으로 돈까스 갈비를 빨리 먹었다,"['돈까스', '갈비']"
170,익일 식사는 점심에 보쌈 된장 라면을 적정량 먹었어,"['보쌈', '된장 라면']"
171,"일일 저녁에 간짜장면, 토마토 파스타를 조금만 먹음","['간짜장면', '토마토 파스타']"
172,내일 식사로는 8시에 짜장면이랑 쌀밥을 많이 먹을것임,"['짜장면', '쌀밥']"
173,"금일 식사는 1시에 된장찌개, 냉면을 적당히 먹었다","['된장찌개', '냉면']"
174,금일 8시에 보쌈과 스테이크를 살짝,"['보쌈', '스테이크']"
175,금일 식사로는 11시에 토마토 샐러드하고 냉면을 적당히,"['토마토 샐러드', '냉면']"
176,익일 식사는 저녁에 간짜장 밥을 쪼금 먹었네,"['간짜장', '밥']"
177,오늘 11시에 족발이랑 피자를 살짝 먹을것 같아,"['족발', '피자']"
178,"일일 12시에 토마토, 순두부찌개를 많이 먹을것임","['토마토', '순두부찌개']"
179,내일 식사는 점심으로 갈비탕과 된장찌개를 쪼금 먹을것 같아,"['갈비탕', '된장찌개']"
180,금일 식사는 10시에 토마토와 팟타이를 많이,"['토마토', '팟타이']"
181,"내일 모레 오후에 떡하고 라면, 갈비탕과 콩밥을 빨리","['떡', '라면', '갈비탕', '콩밥']"
182,"익일 6시에 배추 된장국, 갈비를 쪼금 먹을것임","['배추 된장국', '갈비']"
183,"일일 8시에 짜장면, 스테이크를 급하게 먹었어","['짜장면', '스테이크']"
184,3시에 토마토하고 갈비를 빨리 먹을것 같아,"['토마토', '갈비']"
185,"익일 식사는 아침에 스테이크하고 짜장면, 갈비탕하고 된장 라면 갈비를 적정량 먹음","['스테이크', '짜장면', '갈비탕', '된장 라면', '갈비']"
186,내일 식사는 11시에 갈비탕 냉면을 급하게 먹을것 같아,"['갈비탕', '냉면']"
187,금일 6시에 쌀밥 로제 파스타를 적정량 먹을것임,"['쌀밥', '로제 파스타']"
188,내일  7시에 스테이크와 보쌈을,"['스테이크', '보쌈']"
189,오늘 식사로는 3시에 한우 족발을 빨리 먹을게,"['한우', '족발']"
190,그저께 오후에 탕수육이랑 쌀밥을 조금 먹었다,"['탕수육', '쌀밥']"
191,익일 식사로는 1시에 떡만두국이랑 알리오올리오를 먹을꺼야,"['떡만두국', '알리오올리오']"
192,금일 6시에 라면이랑 탕수육을 살짝 먹었다,"['라면', '탕수육']"
193,익일 점심으로 간짜장면 떡만두국을 많이 먹을것 같아,"['간짜장면', '떡만두국']"
194,"내일 모레 7시에 보쌈, 만두국을 없음","['보쌈', '만두국']"
195,익일 식사는 1시에 로제 파스타하고 오복쟁반을 적정량 먹었어,"['로제 파스타', '오복쟁반']"
196,오늘 11시에 소고기 비빔밥하고 된장 라면을 먹을꺼야,"['소고기 비빔밥', '된장 라면']"
197,토마토 샐러드하고 배추 김치를 빨리 먹을게,"['토마토 샐러드', '배추 김치']"
198,내일 식사는 3시에 콩밥이랑 피자를 많이,"['콩밥', '피자']"
199,익일 식사는 오후에 알리오올리오 소고기를 살짝 먹을것임,"['알리오올리오', '소고기']"
200,오늘 식사는 9시에 족발 마라탕을 많이,"['족발', '마라탕']"
201,오늘 식사는 점심으로 배추 된장국과 김치 볶음밥을 맛있게 먹을꺼야,"['배추 된장국', '김치 볶음밥']"
202,익일 식사는 7시에 쌀밥 평양 냉면을 급하게 먹었어,"['쌀밥', '평양 냉면']"
203,내일 식사는 3시에 갈비 배추를 빨리 먹을게,"['갈비', '배추']"
204,"익일 식사는 저녁으로 족발 보쌈, 토마토 샐러드를 적당히 먹었어","['족발 보쌈', '토마토 샐러드']"
205,오늘 식사로는 9시에 간짜장을 빨리 먹음,['간짜장']
206,금일 2시에 알리오올리오와 된장찌개를 먹음,"['알리오올리오', '된장찌개']"
207,오늘 식사로는 오전에 삼겹살하고 총각 김치를 적당히 먹을꺼야,"['삼겹살', '총각 김치']"
208,일일 11시에 삼겹살 오복쟁반을 쪼금 먹을것임,"['삼겹살', '오복쟁반']"
209,어제 점심으로 제육볶음과 냉면을 살짝 먹을것 같아,"['제육볶음', '냉면']"
210,일일 저녁에 알리오올리오와 총각 김치를 많이 먹었어,"['알리오올리오', '총각 김치']"
211,"일일 11시에 보쌈, 간짜장을 급하게 먹을꺼야","['보쌈', '간짜장']"
212,"일일 7시에 족발 보쌈, 평양 냉면을 조금 먹음","['족발 보쌈', '평양 냉면']"
213,"간식으로 배추, 갈비를 많이","['배추', '갈비']"
214,"오늘 식사는 간식으로 짜장면, 김치찌개를 맛있게 먹었네","['짜장면', '김치찌개']"
215,오늘 3시에 총각 김치하고 나시고랭을 적당히 먹었다,"['총각 김치', '나시고랭']"
216,"8시에 갈비탕, 알리오올리오를 쪼금 먹을게","['갈비탕', '알리오올리오']"
217,저녁에 나시고랭이랑 라면을 조금 먹음,"['나시고랭', '라면']"
218,오늘 식사는 아침으로 김치찜이랑 콩밥을 빨리 먹을것임,"['김치찜', '콩밥']"
219,익일 식사는 5시에 소고기하고 팟타이를 적당히 먹을것 같아,"['소고기', '팟타이']"
220,익일 식사는 아침에 토마토 샐러드하고 떡을 빨리 먹었네,"['토마토 샐러드', '떡']"
221,금일 식사로는 저녁으로 냉면이랑 짜장면을 먹을꺼야,"['냉면', '짜장면']"
222,금일 식사로는 점심으로 총각 김치하고 피자를 빨리 먹을게,"['총각 김치', '피자']"
223,금일 점심에 갈비하고 간짜장면을 맛있게 먹을것 같아,"['갈비', '간짜장면']"
224,금일 4시에 스테이크와 수육을 조금만 먹었다,"['스테이크', '수육']"
225,금일 식사는 4시에 스테이크 제육볶음을 많이 먹을꺼야,"['스테이크', '제육볶음']"
226,"익일 점심에 햄버거, 족발을 급하게 먹을게","['햄버거', '족발']"
227,익일 아침에 제육볶음과 라면을 적정량 먹을것임,"['제육볶음', '라면']"
228,오늘 식사는 5시에 볶음밥이랑 나시고랭을 빨리 먹을게,"['볶음밥', '나시고랭']"
229,금일 식사로는 8시에 간짜장 된장 라면을 적정량 먹었어,"['간짜장', '된장 라면']"
230,금일 식사는 저녁으로 제육볶음 알리오올리오를 많이 먹었네,"['제육볶음', '알리오올리오']"
231,내일  7시에 평양 냉면과 마라탕을 조금만 먹었네,"['평양 냉면', '마라탕']"
232,어제 배추 된장국과 로제 파스타를 급하게,"['배추 된장국', '로제 파스타']"
233,금일 식사는 7시에 삼겹살과 토마토 파스타를 많이 먹을것 같아,"['삼겹살', '토마토 파스타']"
234,어제 9시에 제육볶음 순두부찌개를 적당히,"['제육볶음', '순두부찌개']"
235,어제 저녁으로 족발이랑 냉면을 조금만 먹었어,"['족발', '냉면']"
236,오늘 식사로는 간식으로 배추 된장국하고 만두국을 없음 먹을꺼야,"['배추 된장국', '만두국']"
237,"저녁에 김치, 총각 김치를 많이 먹을꺼야","['김치', '총각 김치']"
238,익일 식사로는 11시에 볶음밥이랑 소고기 비빔밥 팟타이를 빨리 먹을것임,"['볶음밥', '소고기 비빔밥', '팟타이']"
239,금일 식사로는 7시에 스테이크하고 소고기 비빔밥을 급하게 먹을꺼야,"['스테이크', '소고기 비빔밥']"
240,"오늘 식사는 3시에 알리오올리오, 토마토랑 김치찌개를 살짝 먹을꺼야","['알리오올리오', '토마토', '김치찌개']"
241,어제 8시에 나시고랭이랑 콩밥을 적당히 먹음,"['나시고랭', '콩밥']"
242,"오늘 식사로는 아침에 비빔밥, 토마토를 적정량 먹음","['비빔밥', '토마토']"
243,내일 모레 11시에 간짜장과 수육을 적정량,"['간짜장', '수육']"
244,내일 모레 점심으로 족발 평양 냉면을 맛있게 먹을꺼야,"['족발', '평양 냉면']"
245,금일 7시에 팟타이와 김치를 살짝 먹을게,"['팟타이', '김치']"
246,익일 식사는 점심으로 오복쟁반 마라탕을 없음 먹을꺼야,"['오복쟁반', '마라탕']"
247,"오늘 간식으로 마라탕, 토마토를 적당히 먹었네","['마라탕', '토마토']"
248,내일 식사로는 오후에 된장찌개를 많이,['된장찌개']
249,오늘 점심에 갈비탕하고 배추 김치를 먹었네,"['갈비탕', '배추 김치']"
250,익일 식사로는 7시에 피자하고 김치 볶음밥을 없음 먹을것 같아,"['피자', '김치 볶음밥']"
251,어제 11시에 간짜장과 배추 김치를 먹었네,"['간짜장', '배추 김치']"
252,10시에 간짜장하고 탕수육을 쪼금 먹을게,"['간짜장', '탕수육']"
253,익일 식사는 10시에 토마토랑 평양 냉면을 급하게 먹음,"['토마토', '평양 냉면']"
254,금일 식사로는 12시에 떡만두국 스테이크 토마토 파스타를 빨리 먹을꺼야,"['떡만두국', '스테이크', '토마토 파스타']"
255,"1시에 피자, 팟타이를 맛있게 먹었다","['피자', '팟타이']"
256,익일 식사는 8시에 만두국을 조금 먹음,['만두국']
257,금일 식사로는 저녁에 라면과 돈까스를 조금만 먹을게,"['라면', '돈까스']"
258,금일 식사로는 6시에 총각 김치랑 오복쟁반을 적정량 먹을게,"['총각 김치', '오복쟁반']"
259,어제 떡만두국하고 돈까스를 조금 먹었다,"['떡만두국', '돈까스']"
260,오늘 식사는 오후에 햄버거 김치찜을 조금만 먹었네,"['햄버거', '김치찜']"
261,그저께 3시에 쌀밥하고 김치 볶음밥을 급하게,"['쌀밥', '김치 볶음밥']"
262,"오늘 식사는 간식으로 토마토, 갈비를 맛있게","['토마토', '갈비']"
263,오늘 식사는 점심에 알리오올리오랑 토마토를 급하게 먹었네,"['알리오올리오', '토마토']"
264,"어제 3시에 소고기 비빔밥, 나시고랭을 조금만 먹었어","['소고기 비빔밥', '나시고랭']"
265,"금일 식사로는 1시에 배추, 김밥을 빨리 먹을것임","['배추', '김밥']"
266,일일 저녁으로 스테이크랑 소고기 비빔밥을 적당히 먹을꺼야,"['스테이크', '소고기 비빔밥']"
267,3시에 만두국하고 갈비탕을 맛있게 먹었다,"['만두국', '갈비탕']"
268,2시에 떡 햄버거를 적당히 먹었어,"['떡', '햄버거']"
269,그저께 2시에 김치랑 간짜장면을 살짝 먹을게,"['김치', '간짜장면']"
270,"일일 저녁으로 냉면, 돈까스를 먹음","['냉면', '돈까스']"
271,내일 식사로는 2시에 만두국이랑 수육을 적정량 먹었네,"['만두국', '수육']"
272,7시에 토마토 샐러드랑 된장 라면을 먹을것 같아,"['토마토 샐러드', '된장 라면']"
273,금일 3시에 피자와 김치찜을 급하게 먹음,"['피자', '김치찜']"
274,익일 간식으로 한우하고 밥을 급하게 먹었네,"['한우', '밥']"
275,4시에 김밥하고 떡만두국을 쪼금 먹을것 같아,"['김밥', '떡만두국']"
276,금일 12시에 된장찌개하고 갈비를 없음,"['된장찌개', '갈비']"
277,그저께 7시에 피자하고 알리오올리오를 조금만 먹을것 같아,"['피자', '알리오올리오']"
278,"금일 식사는 아침에 돈까스, 족발을 맛있게","['돈까스', '족발']"
279,오늘 9시에 된장 라면하고 배추 된장국을 빨리 먹었네,"['된장 라면', '배추 된장국']"
280,내일  4시에 돈까스와 만두국을 먹을꺼야,"['돈까스', '만두국']"
